Date,Open,High,Low,Close,Volume,Adj Close
2015-12-22,16.86,17.13,16.48,16.95,13519900,16.95
2015-12-21,16.31,17.0,16.2,16.85,14132200,16.85
2015-12-18,16.59,16.7,16.21,16.31,10524300,16.31
2015-12-17,16.28,16.75,16.16,16.6,12326500,16.6
2015-12-16,16.23,16.42,16.05,16.28,8026000,16.28
2015-12-15,16.06,16.31,15.95,16.18,6647500,16.18
2015-12-14,15.6,16.06,15.45,16.06,8355200,16.06
2015-12-11,15.5,15.8,15.41,15.62,7243500,15.62
2015-12-10,15.99,16.05,15.51,15.56,7654900,15.56
2015-12-09,16.0,16.19,15.8,15.83,7926900,15.83
2015-12-08,16.54,16.55,16.01,16.05,7640100,16.05
2015-12-07,16.5,17.04,16.48,16.63,11917200,16.63
2015-12-04,16.13,16.85,16.01,16.62,14011100,16.62
2015-12-03,15.97,16.34,15.88,16.21,9504000,16.21
2015-12-02,15.89,16.04,15.5,15.88,11229600,15.88
2015-12-01,15.67,15.96,15.5,15.85,7192200,15.85
2015-11-30,15.54,15.9,15.05,15.7,11615200,15.7
2015-11-27,16.61,16.99,15.1,15.54,15177000,15.54
2015-11-26,16.98,17.22,16.62,16.78,13196300,16.78
2015-11-25,16.15,17.04,16.03,16.94,18600100,16.94
2015-11-24,15.9,16.2,15.7,16.15,8561200,16.15
2015-11-23,16.09,16.32,16.0,16.05,9441700,16.05
2015-11-20,15.96,16.17,15.81,16.08,8022200,16.08
2015-11-19,15.75,16.05,15.71,16.02,5193300,16.02
2015-11-18,16.26,16.3,15.72,15.75,7318500,15.75
2015-11-17,16.41,16.47,16.11,16.22,11479800,16.22
2015-11-16,15.7,16.22,15.61,16.21,9083200,16.21
2015-11-13,16.36,16.47,15.9,15.95,12924400,15.95
2015-11-12,16.23,16.92,16.0,16.59,16492800,16.59
2015-11-11,16.16,16.28,15.81,16.22,15661900,16.22
2015-11-10,16.29,16.69,16.04,16.15,21457600,16.15
2015-11-09,15.7,16.29,15.56,16.02,20842600,16.02
2015-11-06,15.53,16.01,15.41,15.86,17735800,15.86
2015-11-05,15.33,15.79,15.21,15.52,19051400,15.52
2015-11-04,14.65,15.35,14.65,15.33,14578200,15.33
2015-11-03,14.84,14.96,14.44,14.62,6576300,14.62
2015-11-02,14.91,15.18,14.74,14.74,9487800,14.74
2015-10-30,15.25,15.52,14.81,15.22,12908500,15.22
2015-10-29,15.01,15.36,14.96,15.3,11177100,15.3
2015-10-28,15.14,15.5,14.96,15.02,11373200,15.02
2015-10-27,15.1,15.17,14.51,15.15,12950400,15.15
2015-10-26,15.41,15.55,14.87,15.18,15844500,15.18
2015-10-23,14.8,15.23,14.75,15.2,14769000,15.2
2015-10-22,14.28,14.82,14.25,14.73,10428900,14.73
2015-10-21,15.24,15.7,14.08,14.26,21113500,14.26
2015-10-20,14.99,15.24,14.89,15.22,11935800,15.22
2015-10-19,15.27,15.35,14.85,15.03,11601300,15.03
2015-10-16,15.23,15.35,14.82,15.25,14168700,15.25
2015-10-15,14.73,15.15,14.6,15.12,11177700,15.12
2015-10-14,14.99,15.12,14.72,14.73,10368900,14.73
2015-10-13,15.02,15.19,14.85,15.07,13408200,15.07
2015-10-12,14.63,15.43,14.41,15.3,24110800,15.3
2015-10-09,14.5,14.79,14.11,14.62,23818500,14.62
2015-10-08,14.75,14.75,14.65,14.75,18317200,14.75
2015-10-07,13.41,13.41,13.41,13.41,0,13.41
2015-10-06,13.41,13.41,13.41,13.41,0,13.41
2015-10-05,13.41,13.41,13.41,13.41,0,13.41
2015-10-02,13.41,13.41,13.41,13.41,0,13.41
2015-10-01,13.41,13.41,13.41,13.41,0,13.41
