"Date: 2016-05-25+0000"
"Version: 2.0"
"Status:
0 Normal
1 Completed
2 Archived"
"List Name","Title","Content","Is Checklist","Due Date","Reminder","Repeat","Priority","Status","Completed Time","Order","Timezone","Is All Day"
"自我成长","[编程] javascript exercism [1h]","","N","2016-05-24T16:00:00+0000","","","0","2","2016-05-25T14:15:10+0000","-235295488344064","Asia/Shanghai","true"
"自我成长","[编程] javascript exercism [0.5h]","","N","2016-05-23T16:00:00+0000","","","0","2","2016-05-24T15:59:08+0000","-234195976716288","Asia/Shanghai","true"
"自我成长","[编程] clojure ring request [2h]","阅读 ring.util.request 源码","N","2016-05-23T16:00:00+0000","","","0","2","2016-05-24T15:58:56+0000","-233096465088512","Asia/Shanghai","true"
"自我成长","[编程] clojure ring 入门 [30m]","","N","2016-05-22T16:00:00+0000","","","0","2","2016-05-23T15:03:24+0000","-231996953460736","Asia/Shanghai","true"
"自我成长","[探索发现] 体验 iMac 开发环境 [3h]","iMac 的屏幕体验很棒，但使用非SSD硬盘速度上和mpb想着非常多。","N","2016-05-22T16:00:00+0000","","","0","2","2016-05-23T14:33:35+0000","-230897441832960","Asia/Shanghai","true"
"自我成长","[编程] javascript exercism [0.5h]","","N","2016-05-22T16:00:00+0000","","","0","2","2016-05-23T14:33:08+0000","-229797930205184","Asia/Shanghai","true"
"自我成长","[编程] javascript exercism [1h]","","N","2016-05-20T16:00:00+0000","","","0","2","2016-05-21T16:49:41+0000","-228698418577408","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [3h]","","N","2016-05-20T16:00:00+0000","","","0","2","2016-05-21T14:37:20+0000","-227598906949632","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [1h]","","N","2016-05-19T16:00:00+0000","","","0","2","2016-05-21T14:37:07+0000","-226499395321856","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [2h]","","N","2016-05-18T16:00:00+0000","","","0","2","2016-05-21T14:36:52+0000","-225399883694080","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [3h]","","N","2016-05-17T16:00:00+0000","","","0","2","2016-05-21T14:36:18+0000","-224300372066304","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [1h]","","N","2016-05-15T16:00:00+0000","","","0","2","2016-05-21T14:35:52+0000","-223200860438528","Asia/Shanghai","true"
"自我成长","[探索发现] vim 查找替换及正则表达式 [1h]","","N","2016-05-14T16:00:00+0000","","","0","2","2016-05-15T16:05:51+0000","-222101348810752","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [5h]","","N","2016-05-14T16:00:00+0000","","","0","2","2016-05-15T16:05:21+0000","-221001837182976","Asia/Shanghai","true"
"自我成长","[探索发现] 使用 github 进行程序员招聘 [1h]"," ","N","2016-05-13T16:00:00+0000","","","0","2","2016-05-14T16:47:33+0000","-219902325555200","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [3h]","","N","2016-05-13T16:00:00+0000","","","0","2","2016-05-14T16:46:49+0000","-218802813927424","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [3h]","","N","2016-05-12T16:00:00+0000","","","0","2","2016-05-13T16:19:12+0000","-217703302299648","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [2h]","","N","2016-05-11T16:00:00+0000","","","0","2","2016-05-13T16:18:55+0000","-216603790671872","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [4h]","","N","2016-05-10T16:00:00+0000","","","0","2","2016-05-11T16:04:40+0000","-215504279044096","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 exercism [4h]","","N","2016-05-09T16:00:00+0000","","","0","2","2016-05-11T16:04:31+0000","-214404767416320","Asia/Shanghai","true"
